,setup,model,mse,predictors,correlation,sens,spec,prec,params
608,CIITA_body,composite,0.26720250323540262,12,,,,,Vote threshold=0.5
3476,CIITA_prom,composite,0.20288467312042135,19,,,,,Vote threshold=0.5
614,CLCN5_body,composite,0.7134454148618955,6,,,,,Vote threshold=0.5
3482,CLCN5_prom,composite,0.77462700206048485,4,,,,,Vote threshold=0.5
620,CLDN18_body,composite,0.061381941509129651,1,,,,,Vote threshold=0.5
3488,CLDN18_prom,composite,0.060845136277276696,3,,,,,Vote threshold=0.5
626,CLEC4M_body,composite,0.10476758207750063,3,,,,,Vote threshold=0.5
3494,CLEC4M_prom,composite,0.10887158801061528,4,,,,,Vote threshold=0.5
632,COL14A1_body,composite,1.8955912084395583,9,,,,,Vote threshold=0.5
3500,COL14A1_prom,composite,1.6502609192271731,10,,,,,Vote threshold=0.5
638,COL19A1_body,composite,0.20544603890407806,3,,,,,Vote threshold=0.5
3506,COL19A1_prom,composite,0.24498385393888431,4,,,,,Vote threshold=0.5
644,COL4A3_body,composite,0.30347385338473115,5,,,,,Vote threshold=0.5
650,CPA1_body,composite,0.27623420300131712,3,,,,,Vote threshold=0.5
3512,CPA1_prom,composite,0.27341882618006685,2,,,,,Vote threshold=0.5
656,CPSF6_body,composite,0.13359985889915749,5,,,,,Vote threshold=0.5
3518,CPSF6_prom,composite,0.11369800029182134,4,,,,,Vote threshold=0.5
662,CPT1A_body,composite,0.33289398735493947,1,,,,,Vote threshold=0.5
3524,CPT1A_prom,composite,0.33057902502571629,1,,,,,Vote threshold=0.5
668,CR1_body,composite,0.31496567100438649,4,,,,,Vote threshold=0.5
3530,CR1_prom,composite,0.19615983206764703,5,,,,,Vote threshold=0.5
674,CREBBP_body,composite,0.18129511407498344,5,,,,,Vote threshold=0.5
3536,CREBBP_prom,composite,0.2126671361330896,6,,,,,Vote threshold=0.5
680,CTNND2_body,composite,2.9661892966245409,17,,,,,Vote threshold=0.5
3542,CTNND2_prom,composite,3.5274367782874574,12,,,,,Vote threshold=0.5
686,CTSE_body,composite,0.19172686885053666,1,,,,,Vote threshold=0.5
3548,CTSE_prom,composite,0.19519877909118735,1,,,,,Vote threshold=0.5
692,CTSG_body,composite,2.0434081706223894,16,,,,,Vote threshold=0.5
3554,CTSG_prom,composite,1.8718247745560632,13,,,,,Vote threshold=0.5
698,CUL2_body,composite,0.15289977982514355,4,,,,,Vote threshold=0.5
3560,CUL2_prom,composite,0.1549666712511911,3,,,,,Vote threshold=0.5
704,CYP11B1_body,composite,0.084473839373270923,8,,,,,Vote threshold=0.5
3566,CYP11B1_prom,composite,0.099702132457548498,6,,,,,Vote threshold=0.5
710,CYP21A2_body,composite,1.3133861249285896,8,,,,,Vote threshold=0.5
3572,CYP21A2_prom,composite,1.2281240808864278,11,,,,,Vote threshold=0.5
716,CYP24A1_body,composite,1.593916123321621,10,,,,,Vote threshold=0.5
3578,CYP24A1_prom,composite,1.7886540203826182,14,,,,,Vote threshold=0.5
722,CYP27B1_body,composite,1.6607866913536244,8,,,,,Vote threshold=0.5
3584,CYP27B1_prom,composite,1.2800960340327194,9,,,,,Vote threshold=0.5
728,CYP2A6_body,composite,2.3569295063285232,17,,,,,Vote threshold=0.5
734,CYP2A7_body,composite,2.7016562789686627,16,,,,,Vote threshold=0.5
3590,CYP2A7_prom,composite,2.7499463504822979,13,,,,,Vote threshold=0.5
