,setup,model,mse,predictors,correlation,sens,spec,prec,params
2466,ALB_prom,agrace,0.94833086778803921,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2465,ALB_prom,composite,0.93322583765231737,4,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2467,ALB_prom,enet,0.95405424599014144,4,,,,,"alpha=0.04, l1_ratio=0.99"
2468,ALB_prom,grace,0.94833059407050957,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2469,ALB_prom,lasso,0.95371353217980914,4,,,,,alpha=0.04
76,ALDH3B2_body,agrace,1.2598466033741178,479,,,,,"lambda 1=10.0, lambda 2=0.01"
75,ALDH3B2_body,composite,1.2229266428982157,5,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
77,ALDH3B2_body,enet,1.2909691305850228,3,,,,,"alpha=0.04, l1_ratio=0.99"
78,ALDH3B2_body,grace,1.2598502378739924,479,,,,,"lambda 1=10.0, lambda 2=0.01"
79,ALDH3B2_body,lasso,1.2912347264626742,3,,,,,alpha=0.04
2471,ALDH3B2_prom,agrace,1.3878914450206545,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2470,ALDH3B2_prom,composite,1.392690775363725,8,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2472,ALDH3B2_prom,enet,1.3953258832221298,7,,,,,"alpha=0.04, l1_ratio=0.99"
2473,ALDH3B2_prom,grace,1.387891426778846,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2474,ALDH3B2_prom,lasso,1.3951901554323602,7,,,,,alpha=0.04
2476,ALDOB_prom,agrace,0.16067276434992384,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2475,ALDOB_prom,composite,0.16818480761540042,3,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2477,ALDOB_prom,enet,0.15913805810657181,4,,,,,"alpha=0.04, l1_ratio=0.99"
2478,ALDOB_prom,grace,0.16067285920639782,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2479,ALDOB_prom,lasso,0.15918993472523421,3,,,,,alpha=0.04
81,ALK_body,agrace,0.94004517229141682,479,,,,,"lambda 1=10.0, lambda 2=0.01"
80,ALK_body,composite,1.0292355292547637,6,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
82,ALK_body,enet,0.94824785135897216,5,,,,,"alpha=0.04, l1_ratio=0.99"
83,ALK_body,grace,0.94004212876801929,479,,,,,"lambda 1=10.0, lambda 2=0.01"
84,ALK_body,lasso,0.95115764254460811,5,,,,,alpha=0.04
2481,ALK_prom,agrace,0.98670864055856289,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2480,ALK_prom,composite,1.0038646317622406,13,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2482,ALK_prom,enet,1.0123800573784116,9,,,,,"alpha=0.04, l1_ratio=0.99"
2483,ALK_prom,grace,0.98671245503621974,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2484,ALK_prom,lasso,1.0139927280659453,7,,,,,alpha=0.04
