,lasso,enet,grace,linf,composite
GLP1R,0.13698454091354428,0.13579111817290285,0.13525523884059285,0.13179111757055503,0.14120790696703409
GLRA3,3.5486174619878472,3.5177361421159992,3.4912061286091198,3.5015144135107601,3.2922462592811632
GPA33,0.17620867595459083,0.17617143307714228,0.17613745884426954,0.14867775413389819,0.17734882098683591
GPD2,0.36926314210913691,0.36697022618870173,0.37056904531289386,0.33835947694339508,0.37285965277155803
GPLD1,0.37865536032406788,0.37841711149874724,0.37812246268592326,0.36703037918138892,0.38034306299225518
GPR19,0.70919591730607523,0.69637268911361427,0.68549226099253391,0.56932581727825948,0.65989282521939419
GPSM2,0.77321561604118516,0.7613777059406247,0.73090207375638838,0.65155411466881152,0.67737564368075742
GRIK1,1.3636566039149325,1.3432822207211819,1.3128623397695687,1.2865954081397741,1.2249867506038825
GRIN2A,0.2890980231425106,0.29226584136204381,0.29105029441521185,0.2854722622960767,0.30682487397229968
GRIN2B,0.61935000202045398,0.62058290784020065,0.62245521060476328,0.62250462538407492,0.6351151658648182
GRM5,0.063857730455909839,0.063732378942908077,0.063958471196626912,0.067330666629295016,0.065901798611470996
GRP,3.5215377511554209,3.5163210677407388,3.5872845208612203,4.2393108167656965,4.2188714395929017
GTSE1,0.59928087654975515,0.59457908962447736,0.60167755946958157,0.54170098195122607,0.61321294009481497
GUCA1A,0.19508176382902565,0.19506063574889854,0.19507794913962073,0.20774093645088587,0.19808287503272551
GUCY2C,0.45710030478971142,0.4567041407693132,0.45307487174601502,0.45083352655132136,0.45053497986355379
GYPB,0.36176991113421608,0.35877855872072367,0.36854082543695171,0.38843810618114416,0.4011458254804624
HELLS,0.55505827383345996,0.55040206215232657,0.55054931243756389,0.54946571813452016,0.54163174173811746
HNF4A,0.069690271202642054,0.069243601062221424,0.069482375919921346,0.076567988575024504,0.071191410255447327
HOXB13,1.6429316213633953,1.7056510063164008,1.5967091222863214,2.3355101014778787,1.5325697021086508
HOXB3,1.7632777897039735,1.7710954668880821,1.798256097028724,1.8246133556942468,2.1064056425829243
HOXC11,0.7539929172207297,0.74864950028860322,0.66656264277904487,0.80971891120242812,0.58147376243352256
HOXD4,0.3073174155627631,0.30751380917907162,0.30777403744576393,0.30303227475982353,0.31432225285566384
HOXD9,0.13949209400492885,0.13941883439376118,0.14028137445416983,0.14929295252451955,0.1593559282017098
HTR1E,0.80545661465690566,0.80485724012101301,0.80200625747206988,0.70804064133495859,0.7919945520001781
HTR2A,0.54215602043243272,0.54064549211027679,0.54034831863394528,0.5386815452621212,0.59213623281735417
HTR2C,0.49719737908325046,0.49599107156368399,0.49552519183495558,0.48829068329265507,0.49688723493607512
HTR4,0.077789607428490962,0.07761292196289489,0.077130808979915658,0.0837694353032397,0.079551968951704952
IL17A,0.080577127154123782,0.080493654573252263,0.080428446507719339,0.082266395892340499,0.081390243288511743
IL1A,0.41481836961507701,0.40839763217757602,0.40494004975401376,0.39868355462365912,0.37494380993706983
IL3,0.053133784349737,0.05317490310046908,0.053061523811312516,0.059496262099849435,0.054314680137678019
IL4,0.11751137256069814,0.11670089699947965,0.11979873513303983,0.13424063252144908,0.14167199321775062
IL9,0.17346278903702589,0.17385259626231572,0.1744100619986528,0.16398666197315293,0.17956774383067806
ISL1,0.59451910359225058,0.59548836022554508,0.60612136237966174,0.59770225900933827,0.61617351906690265
ITGA2,1.3263509404246083,1.3230953549977016,1.3151709564595169,1.2597849374864214,1.3604495807779646
ITGB3,0.77325776922746159,0.76844724685661747,0.76002773795884648,0.75220730263614133,0.72691853889005675
ITIH1,0.087748322814985347,0.08974859923742827,0.086919084633187788,0.085081432802936521,0.08610499999404829
ITSN1,0.25475822870860837,0.25472848542497056,0.2555914068135649,0.26145067662488469,0.26042207088626157
KALRN,0.30917985140490672,0.30453639966896789,0.29732503748871819,0.28483442678196069,0.31010358616053707
KCNJ10,0.25880531028203574,0.25848193481750958,0.2589453122147643,0.16752936077889877,0.26164024830211219
KCNMA1,0.89521266383609244,0.89845264450189621,0.88205389565969916,0.94418249279081345,0.89110990878112417
KCNV2,0.095770076388888889,0.095770076388888889,0.095770076388888889,0.094713748664847441,0.095770076388888889
KIAA0586,0.20241610461725554,0.20228596790850337,0.20380535719269133,0.2053488095276054,0.20634485438286707
KIF11,0.40006800461648112,0.40116303773893919,0.39902224070601017,0.35269104394405337,0.40156701045996457
KIF14,1.0140078966554031,1.0226795880342481,1.0022147217317914,1.0529341347878458,1.0560763810417262
KIF23,0.97457908970390927,0.96542302830443305,0.95190620686805183,0.90838748191887275,0.96480219530789724
KIF2C,0.97786060693461463,0.96610871883910521,0.92935911722210141,1.0142676052344912,0.87574484555205678
KIFC1,0.63588386053914558,0.63037826320562762,0.60881974068952249,0.61285273617504143,0.63911640374350165
KISS1,0.060402423038926657,0.060560798788139046,0.060870088669587888,0.071188711324975493,0.063954753664907091
KLK3,0.17825008345550075,0.17834789872436652,0.17767971294372376,0.19687523039546523,0.17710607086139468
KLKB1,0.30642546386917185,0.30601908959327356,0.30550679057989139,0.30121734467624683,0.30379337222458885
KNG1,0.26936591972174334,0.27062528948309028,0.26668707552672949,0.27206085721761836,0.26065989778773357
KNTC1,0.41326066036077308,0.41537724608129739,0.41174846636592471,0.42480606567992774,0.41298020477473568
KRT1,2.138805876199013,2.1143938495063237,2.0581940565346888,2.1378521624980262,1.9832816283541155
KRT2,0.36419322744237015,0.36312118114636688,0.36365883480270977,0.34375240572691357,0.38495834139104895
KRT76,0.11448855050535178,0.11457461896483653,0.1147539771643718,0.13486486017712937,0.11715508340570685
KRT86,1.2673606713626056,1.2666886764084848,1.2744364997276665,1.4281422068594578,1.4170340650001594
LBP,2.0644753336845985,2.0545755245930426,1.9939940281047166,1.9274645236704457,1.9798255631349506
LECT2,0.17879909606464506,0.17897196257345754,0.17891302265207157,0.21290603118257093,0.18081898332154941
LIG1,0.32337385147412417,0.32274810171467733,0.32632734719642936,0.2983810213357363,0.34424553405316299
LIG3,0.26874684327241338,0.26967816247704091,0.26815149907715979,0.26776220044050397,0.28987417823614381
LIPC,0.61695565766641514,0.60488015663717443,0.60945343208223646,0.62657036102363239,0.62397073937052694
LIPF,0.48553855591969547,0.48344590587859809,0.48200470783594596,0.53187648808564147,0.47833124436225316
LLGL1,0.10716066683391795,0.10659855758171649,0.10561542039947522,0.10224986227794462,0.10280913186060053
LMNB1,1.240390046554027,1.2331889302380814,1.1913481348835306,1.2876271089712725,1.1898332125581648
LMNB2,0.34280544586085604,0.3422045245350025,0.34328160549426379,0.2827394467854783,0.34680689268817816
LRP2,2.5503966194261523,2.5364864826238267,2.4938711158929885,2.7631071976572872,2.5322154280031648
LRP6,0.41962316432483832,0.41834343033405219,0.41679575376658801,0.3925676742326808,0.40516824340194585
MAD2L1,1.092182501381783,1.0610038005882885,1.0144627504252384,1.0260247189502905,0.93482699411000014
MAGEC1,2.2055481052243233,2.2157347502922149,2.2081967045080004,2.3034880552001074,2.2223148659678853
MAP2,0.59996376447502986,0.59338283392731683,0.57190096659875478,0.57533357094284654,0.54367550747379689
MAPK10,1.0489552390986976,1.0536960593414915,1.0547115197099641,1.0541870731392218,1.0862549708812717
MATN3,2.2514608910507978,2.1901730555790069,2.0842386692183399,2.175364062356683,1.7093971924817
MB,1.6053987489634485,1.6331199766267332,1.6016593746720826,1.6640720166906637,1.6259581693249245
MC2R,0.10995300328247408,0.10974795352473524,0.10934391620423403,0.10505767238728661,0.11345664245168798
MCM3,0.32029226634671015,0.31957993646268151,0.3198356164250124,0.27883037406882716,0.320250395894639
MCM4,0.51043076842568202,0.51768510081106189,0.50344466451807768,0.49792954256866873,0.52850008947060334
MCM7,0.22703285876031856,0.22847071417013184,0.22719656834527002,0.18969009095119846,0.22949653561601624
MDM2,0.21013780237799051,0.20888215105011565,0.20668318272264957,0.21261040816119636,0.19807963981842741
MDM4,0.21552019972267972,0.21491584241240458,0.21344251606983744,0.21803602146332257,0.2104909404505218
MELK,1.2969929066299291,1.2844782321299064,1.2008990179998935,1.4268162475637931,1.0028677463882743
METAP2,0.106312691360069,0.10546240359742541,0.10489061022929629,0.10346759410139519,0.10451879289593952
MKI67,0.82942676822233308,0.8003181524410754,0.77842334175341232,0.73004036391056382,0.65960192021076247
MLANA,0.22330834708699604,0.20307604026387266,0.21734644011160598,0.20610244740142766,0.22906277142929332
MLLT10,0.19972771721175142,0.20066114914078842,0.20049246204760335,0.1700617569859397,0.2050323146465447
MMACHC,0.2977531900620472,0.2967567723241904,0.29697720450836668,0.26313409248554626,0.30205885571851365
MMP16,0.60552827988878632,0.60526033345198349,0.60460495500506162,0.54863758885562119,0.60530261117297401
MNAT1,0.16007403324477137,0.1575879996608899,0.15774364934679458,0.15361677161610773,0.15353550886113501
MOBP,0.085248052381721173,0.084965596142990374,0.084627414471642737,0.087440754425475511,0.083853357526419522
