,setup,model,mse,predictors,correlation,sens,spec,prec,params
640,DBT_body,composite,0.10258098413007549,4,,,,,Vote threshold=0.5
3020,DBT_prom,composite,0.10558623419948328,4,,,,,Vote threshold=0.5
645,DCT_body,composite,0.077578198115414151,17,,,,,Vote threshold=0.5
3025,DCT_prom,composite,0.071992436642725366,11,,,,,Vote threshold=0.5
650,DDC_body,composite,1.8499702785574557,11,,,,,Vote threshold=0.5
3030,DDC_prom,composite,1.4891008786458939,20,,,,,Vote threshold=0.5
655,DDX51_body,composite,0.12804006449908972,5,,,,,Vote threshold=0.5
660,DDX6_body,composite,0.27786004538737386,2,,,,,Vote threshold=0.5
3035,DDX6_prom,composite,0.26562591858876605,2,,,,,Vote threshold=0.5
665,DHFR_body,composite,0.26256292400391523,12,,,,,Vote threshold=0.5
670,DLG1_body,composite,0.15688788608895676,1,,,,,Vote threshold=0.5
3040,DLG1_prom,composite,0.15622726713675478,2,,,,,Vote threshold=0.5
675,DLX4_body,composite,1.0344117746967971,7,,,,,Vote threshold=0.5
3045,DLX4_prom,composite,1.0331599141122421,4,,,,,Vote threshold=0.5
680,DNMT1_body,composite,0.16650114495472557,5,,,,,Vote threshold=0.5
3050,DNMT1_prom,composite,0.16126990579689984,6,,,,,Vote threshold=0.5
685,DSG1_body,composite,0.89682079149576099,9,,,,,Vote threshold=0.5
3055,DSG1_prom,composite,0.7325271902172984,8,,,,,Vote threshold=0.5
690,DTNA_body,composite,0.68384491770145883,4,,,,,Vote threshold=0.5
3060,DTNA_prom,composite,0.79314808324224351,4,,,,,Vote threshold=0.5
695,DTYMK_body,composite,0.26921848075729521,9,,,,,Vote threshold=0.5
3065,DTYMK_prom,composite,0.26012663594947572,8,,,,,Vote threshold=0.5
700,E2F1_body,composite,0.45521503991567841,5,,,,,Vote threshold=0.5
3070,E2F1_prom,composite,0.55607707282891261,8,,,,,Vote threshold=0.5
705,EGFR_body,composite,0.51331575514805039,13,,,,,Vote threshold=0.5
3075,EGFR_prom,composite,0.46997480674292041,14,,,,,Vote threshold=0.5
710,ELAVL2_body,composite,0.76160447991328772,5,,,,,Vote threshold=0.5
3080,ELAVL2_prom,composite,0.75133292120909168,8,,,,,Vote threshold=0.5
715,ELK4_body,composite,0.23960044289564861,3,,,,,Vote threshold=0.5
3085,ELK4_prom,composite,0.23771879327167497,4,,,,,Vote threshold=0.5
720,ELOVL6_body,composite,0.70584918884519454,8,,,,,Vote threshold=0.5
3090,ELOVL6_prom,composite,0.77848094282534985,8,,,,,Vote threshold=0.5
